疾病,总数,详论
高血压,8,观察中西医结合治疗肝阳上亢型原发性高血压的临床疗效
高血压,9,初探中西医结合用于治疗高血压肝阳上亢证的实际疗效
高血压,10,中西医结合治疗高血压肾病疗效观察
高血压,11,中西医结合治疗高血压脑出血50例
高血压,12,高血压合并糖尿病中西医结合治疗的疗效观察
高血压,13,中西医结合治疗妊娠高血压综合征临床观察
高血压,14,降压清心方联合硝苯地平缓释片防治肝阳上亢型高血压病的临床研究
高血压,15,中西医结合治疗社区老年高血压患者的研究进展
高血压,16,中西医结合治疗原发性高血压疗效观察
高血压,17,探讨应用中西医结合治疗的方法治疗高血压病的效果
高血压,18,中西医结合治疗高血压脑出血的研究现状
高血压,19,中西医结合慢病管理方案防治痰湿壅盛型原发性高血压临床研究
高血压,20,中西医结合治疗肥胖型高血压病伴胰岛素抵抗临床研究
高血压,21,中西医结合治疗肾性高血压的疗效观察及护理
高血压,22,中西医结合治疗妊娠高血压早发型重度子痫前期临床效果分析
高血压,23,中西医结合治疗高血压合并糖尿病临床疗效分析
高血压,24,中西医结合治疗原发性高血压120例的临床观察
高血压,25,中西医结合治疗高血压50例的临床效果分析
高血压,26,丹栀逍遥散联合氟西汀、硝苯地平治疗肝气郁结老年高血压合并抑郁随机平行对照研究
高血压,27,肾实质性高血压中医证候及用药规律文献研究
高血压,28,中西医结合治疗高血压75例疗效观察
高血压,29,中西医结合治疗高血压合并高血脂的临床疗效
高血压,30,中西医结合护理对高血压脑出血的临床效果分析
高血压,31,中西医结合治疗高血压50例临床观察
高血压,32,中西医结合治疗老年难治性高血压的临床效果观察
高血压,33,中西医结合治疗妊娠高血压疾病并发症的临床研究
高血压,34,EECP联合中西医疗法治疗高血压的临床疗效及对ET、NO、AngⅡ的影响
高血压,35,中西医结合疗法对早期妊娠高血压综合征的疗效及临床护理干预
高血压,36,中西医结合治疗老年高血压的临床观察
高血压,37,中西医结合治疗妊娠期高血压临床疗效及对凝血酶的影响
高血压,38,中西医结合治疗老年高血压的应用及降压效果观察
高血压,39,中西医结合治疗原发性高血压49例
高血压,40,中西医结合治疗高原地区妊娠高血压疾病的临床疗效分析
高血压,41,中西医结合治疗社区老年高血压的应用效果评价
高血压,42,中西医结合治疗痰湿壅盛型高血压病疗效观察
高血压,43,中药利尿药和西药利尿药在高血压中的应用研究
高血压,44,武汉首义社区高血压中西医结合综合干预效果研究
高血压,45,中西医结合治疗高血压的疗效观察
高血压,46,中西医结合治疗妊娠期高血压疾病的系统评价
高血压,47,中西医结合治疗肝阳上亢型原发性高血压临床观察
高血压,48,H型高血压的中西医治疗研究进展
高血压,49,中西医结合治疗社区中肝阳上亢证H型高血压病的疗效分析
高血压,50,探讨应用中西医结合治疗的方法治疗高血压病的效果
高血压,51,中西医结合疗法对高血压的治疗作用初步分析
高血压,52,中西医结合治疗高血压合并脂代谢紊乱62例
高血压,53,中西医结合治疗高血压患者的临床效果
血液病,1,搜寻遗失的中医瑰宝——访我国著名中医、中西医结合血液病专家、北京西苑医院血液科主任医师麻柔教授
产后乳汁不足,1,中西医药治疗产后乳汁不足或缺乳的临床观察
老年女性肾性血尿,1,中西医结合治疗老年女性肾性血尿60例的效果观察
骨折,1,中西医结合疗法对胫骨平台骨折术后康复的作用观察
骨折,2,中西医结合治疗骨折后愈合不良患者临床对照分析
骨折,3,中西医结合疗法治疗股骨转子间骨折的临床效果评价
骨折,4,中西医结合治疗多发性肋骨骨折疗效观察
骨折,5,中西医结合治疗骨质疏松脊柱骨折临床观察
骨折,6,中西医结合疗法在胫骨平台骨折术后康复中的应用
骨折,7,中西医结合治疗骨质疏松性脊柱骨折的效果
骨折,8,中西医结合治疗骨质疏松性股骨粗隆间骨折的疗效分析
骨折,9,中西医结合治疗对四肢骨折术后康复的影响
骨折,10,中西医结合治疗骨盆骨折术后尿道损伤患者的疗效分析
骨折,11,中西医结合“三步复位法”治疗胸腰段脊柱爆裂骨折疗效观察
骨折,12,中西医结合治疗跟骨骨折疗效及安全性评价
骨折,13,中西医结合治疗老年骨质疏松性胸腰椎压缩性骨折的临床疗效观察
骨折,14,中西医结合疗法在胫骨平台骨折术后康复治疗中的临床效果
骨折,15,老年股骨粗隆间骨折的中西医结合治疗新进展
骨折,16,中西医结合骨折新疗法治疗肱骨髁上骨折的预后分析
骨折,17,中西医结合治疗老年股骨粗隆间骨折的临床效果
骨折,18,中西医结合治疗内踝骨折60例分析
骨折,19,疼痛性骨质疏松性脊柱骨折的中西医结合治疗效果研究
骨折,20,中西医结合治疗后交叉韧带胫骨止点骨折22例
骨折,21,中西医结合治疗复杂胫骨平台骨折的临床疗效分析
骨折,22,中西医结合治疗髌骨骨折42例临床价值分析
骨折,23,中西医结合治疗骨盆骨折60例分析
骨折,24,中西医结合治疗胫骨Pilon骨折28例疗效观察
骨折,25,中西医结合治疗指骨骨折84例分析
骨折,26,中西医结合应用于闭合性肋骨骨折并血气胸150例效果分析
骨折,27,对行手术治疗的胸腰椎骨折患者实施中西医结合护理在预防腹胀方面的效果
骨折,28,中西医结合治疗闭合性骨折100例临床疗效观察
骨折,29,中西医结合在胫骨平台骨折术后康复治疗中的应用效果
骨折,30,克氏针固定配合中药内服中西医结合辅助治疗锁骨骨折的疗效观察
骨折,31,中西医结合治疗胫骨平台骨折的临床观察
骨折,32,中西医结合骨科微创治疗理念的体现——骨折复位固定器疗法的形成与发展
骨折,33,中西医结合治疗桡骨远端骨折的效果分析
骨折,34,中西医结合治疗老年骨质疏松性胸腰椎压缩性骨折37例
骨折,35,我国开创的中西医结合科研及其启示(六)——著名骨科专家尚天裕教授与中西医结合治疗骨折研究的创新之路
骨折,36,手法复位小夹板外固定治疗骨折的延续和发展——骨折复位固定器疗法
骨折,37,中西医结合治疗方案在老年肱骨近端骨折中的应用
骨折,38,桡骨远端骨折的中西医结合治疗的临床研究进展
骨折,39,中西医结合临床护理路径防治26例胸腰椎骨折术后腹胀疗效
骨折,40,观察股骨近端骨折应用中西医结合分阶段治疗的临床疗效
骨折,41,中西医结合疗法改善骨质疏松性椎体压缩性骨折术后疼痛临床分析
骨折,42,中西医结合治疗股骨颈骨折临床疗效观察
骨折,43,中西医结合外用疗法治疗跟骨骨折术前肿胀的护理
骨折,44,中西医结合治疗小儿肱骨踝上骨折的临床效果
骨折,45,中西医结合交锁髓内钉治疗胫骨骨折术后再骨折的疗效
骨折,46,中西医结合治疗骨质疏松性股骨粗隆间骨折的临床研究
痴呆,1,中西医结合治疗脑梗死后血管性痴呆的效果观察
痴呆,2,中西医结合治疗老年肾虚痰浊型血管性痴呆临床研究
痴呆,3,探讨老年痴呆病的发病机制及临床采用中西医结合药物治疗效果
痴呆,4,老年痴呆症发病机制与中西医联合治疗研究进展
痴呆,5,中西医结合治疗脑梗死后血管性痴呆的效果评价
痴呆,6,探讨中西医结合改善脑梗死后血管性痴呆症状的临床效果
脑梗塞,1,中西医结合治疗脑梗塞后遗症康复效果观察
脑梗塞,2,中西医结合疗法治疗脑梗塞效果评析
脑梗塞,3,中西医结合治疗脑梗塞后遗症的护理干预
脑梗塞,4,老年脑梗塞患者采用中西医结合治疗后分期综合护理干预的临床效果
脑梗塞,5,中西医结合治疗脑梗塞后遗症疗效分析
脑梗塞,6,探讨中西医结合治疗脑梗塞后遗症的疗效分析
脑梗塞,7,中西医结合治疗脑梗塞后遗症116例疗效分析
关节炎,1,中药熏蒸、定向透药、关节腔注射玻璃酸钠中西医结合治疗膝关节骨性关节炎疗效观察
关节炎,2,中西医结合治疗老年性退行性膝骨关节炎的临床效果
关节炎,3,益气温阳中药治疗膝骨关节炎疗效及对炎性细胞因子、NO水平的影响
关节炎,4,中西医结合治疗老年膝关节骨性关节炎的临床疗效
关节炎,5,膝骨关节炎的中西医结合治疗及护理分析
关节炎,6,探讨中西医结合治疗类风湿性关节炎临床疗效
关节炎,7,中西医结合治疗配合护理在痛风性关节炎患者中的应用分析
关节炎,8,中西医结合治疗类风湿关节炎临床研究
关节炎,9,中西医结合治疗活动期类风湿关节炎
关节炎,10,中西医结合辨证治疗急性期类风湿关节炎疗效观察
关节炎,11,骨性膝关节炎采取中西医结合治疗的效果观察
关节炎,12,中西医结合治疗类风湿性关节炎60例疗效观察
关节炎,13,中西医结合治疗急性痛风性关节炎临床观察
关节炎,14,中西医结合治疗湿热蕴结型痛风性关节炎临床观察
关节炎,15,中西医结合治疗痛风性关节炎疗效及不良反应的研究
关节炎,16,中西医结合治疗骨性膝关节炎43例临床观察
关节炎,17,治疗老年肝肾亏虚型膝关节骨性关节炎文献综述
关节炎,18,中西医结合治疗膝关节骨性关节炎寒湿痹阻型疗效观察
关节炎,19,中药熏洗联合玻璃酸钠关节腔注射治疗膝关节骨性关节炎的疗效分析
关节炎,20,中西医结合治疗老年性膝骨关节炎的疗效分析
关节炎,21,中西医结合疗法治疗类风湿性关节炎临床研究
关节炎,22,中西医结合治疗类风湿关节炎36例
关节炎,23,膝关节骨性关节炎中西医结合治疗临床效果分析
关节炎,24,中西医结合治疗类风湿关节炎的经验浅谈
关节炎,25,中西医结合治疗老年膝关节骨性关节炎的临床效果
关节炎,26,中西结合治疗踝关节早中期骨性关节炎的临床疗效分析
关节炎,27,类风湿性关节炎继发骨质疏松患者中西医结合治疗的效果
关节炎,28,中西医结合治疗类风湿性关节炎的疗效及CRP、RF的影响研究
关节炎,29,中西医结合治疗寒湿痹阻型类风湿关节炎临床研究
关节炎,30,中西医结合治疗风湿性关节炎临床研究
关节炎,31,膝关节骨性关节炎的中西医治疗
关节炎,32,中西医结合辨证治疗急性期类风湿关节炎60例
关节炎,33,中西医结合康复护理中晚期类风湿关节炎86例
呼吸衰竭,1,中西医结合治疗重症肺炎致呼吸衰竭疗效观察
呼吸衰竭,2,中西医结合治疗哮喘持续状态伴发呼吸衰竭的临床疗效观察
呼吸衰竭,3,中西医结合治疗慢性呼吸衰竭的临床疗效探讨
呼吸衰竭,4,中西医结合治疗重症肺炎呼吸衰竭临床疗效分析
呼吸衰竭,5,中西医结合治疗慢性呼吸衰竭临床研究
胰腺炎,1,中西医结合治疗ICU重症急性胰腺炎的临床疗效
胰腺炎,2,中西医结合治疗老年重症急性胆源性胰腺炎的临床效果
胰腺炎,3,清胰汤联合奥曲肽治疗急性胰腺炎疗效观察
胰腺炎,4,重症急性胰腺炎中西医联合内镜治疗的护理
胰腺炎,5,中西医结合治疗重症急性胰腺炎临床分析
胰腺炎,6,中西医结合治疗重症胰腺炎45例
胰腺炎,7,中西医联合保守治疗急性胰腺炎52例的临床观察
胰腺炎,8,中西医结合治疗急性胰腺炎的疗效探究
胰腺炎,9,生长抑素与中西医结合疗法治疗急性重症胰腺炎的临床对比研究
胰腺炎,10,中西医结合治疗重症急性胰腺炎36例临床观察
胰腺炎,11,中西医结合治疗胰腺炎的现状与展望
胰腺炎,12,高血脂性重症急性胰腺炎相关因素研究进展
胰腺炎,13,中西医结合治疗急性胆源性胰腺炎临床观察
胰腺炎,14,中西医结合治疗慢性胰腺炎合并胰腺囊肿30例临床分析
胰腺炎,15,探讨中西医联合方法在重症急性胰腺炎治疗中的可行性
胰腺炎,16,34例胆源性重症胰腺炎中西医结合治疗及护理经验
胰腺炎,17,中药内服与高位保留灌肠治疗急性胰腺炎40例疗效观察
胰腺炎,18,急性胰腺炎的中西医结合与单纯西医治疗临床效果对比研究
胰腺炎,19,中西医结合治疗急性胰腺炎临床效果观察
胰腺炎,20,中西医结合治疗急性胰腺炎32例临床观察
胰腺炎,21,重症急性胰腺炎中西医结合治疗进展
胰腺炎,22,中西医结合治疗急性胰腺炎的疗效及护理
胰腺炎,23,中西医结合治疗非轻症急性胰腺炎56例的疗效观察
胰腺炎,24,中西医结合治疗胰腺炎25例临床观察
胰腺炎,25,刍议清热通腑活血方汤治疗重症急性胰腺炎(SAP)并发肠功能障碍的疗效
胰腺炎,26,中西医结合治疗肝胆湿热型慢性胰腺炎32例
胰腺炎,27,中西医结合治疗急性胰腺炎文献的系统评价与Meta分析
胰腺炎,28,中西医结合治疗急性胰腺炎经验
胰腺炎,29,中西医结合治疗急性胰腺炎的100例临床效果分析
胰腺炎,30,急性胆源性胰腺炎肝胆湿热证中西医结合治疗临床观察
更年期功能性子宫出血,1,中西医结合治疗150例更年期功能性子宫出血的临床观察
厌食,1,中西医结合对小儿厌食症患者血清β-EP、Leptin水平的影响
厌食,2,中西医结合治疗小儿厌食症疗效观察
厌食,3,中西医结合治疗小儿厌食症临床观察
小儿内科疾病,1,中西医结合治疗小儿内科疾病与单一西药治疗效果对比分析
咽喉反流合并咽喉炎,1,中西医结合治疗咽喉反流合并咽喉炎的临床疗效
尖锐湿疣,1,中西医结合疗法治疗尖锐湿疣
更年期抑郁症,1,加味二仙汤联合心理疏导对更年期抑郁症女性单胺类神经递质的影响
更年期抑郁症,2,中西医结合治疗更年期抑郁症临床研究
糖尿病,1,中西医结合治疗糖尿病周围神经病变30例
糖尿病,2,中西医结合治疗Ⅳ期糖尿病肾病临床研究
糖尿病,3,中西医结合治疗糖尿病周围神经病变效果评价
糖尿病,4,中西医结合治疗糖尿病肾病临床观察
糖尿病,5,中医特色护理在糖尿病肾病患者中的应用效果分析
糖尿病,6,中西医结合治疗2型糖尿病临床观察
糖尿病,7,中西医结合治疗糖尿病肾病临床研究
糖尿病,8,中西医结合护理在胰岛素泵强化治疗2型糖尿病患者中的应用
糖尿病,9,中西医结合治疗糖尿病肾病Ⅳ期的疗效分析
糖尿病,10,糖尿病足中医治疗研究进展
糖尿病,11,中西医结合治疗糖尿病足30例观察
糖尿病,12,中西医结合治疗小儿糖尿病临床研究
糖尿病,13,中西医结合治疗糖尿病周围神经病变临床疗效评价
糖尿病,14,祝肇刚中西医结合治疗糖尿病撷英
糖尿病,15,中西医结合治疗糖尿病视网膜病变临床疗效
糖尿病,16,中西医结合治疗糖尿病多发性周围神经病变34例临床观察
糖尿病,17,中西医结合全程治疗糖尿病视网膜病变的疗效评价
糖尿病,18,综合疗法治疗糖尿病周围神经病变60例临床观察
糖尿病,19,糖尿病合并高血压患者应用中西医结合护理的效果
糖尿病,20,中西医结合治疗糖尿病足46例临床观察
糖尿病,21,探讨中西医结合治疗糖尿病性周围神经痛的临床效果
糖尿病,22,对比分析中西医疗法与中西医序贯疗法在糖尿病肾病治疗中的临床效果
糖尿病,23,中西医结合治疗糖尿病足疗效分析
糖尿病,24,中西医结合治疗改善Wagner 0级糖尿病足主要临床症状的Meta分析
糖尿病,25,中西医结合治疗联合护理干预对糖尿病伴抑郁症患者临床疗效及血糖控制的影响
糖尿病,26,中西医护理在糖尿病肾病护理中的应用价值
糖尿病,27,中西医结合治疗早期糖尿病肾病的疗效观察
糖尿病,28,中西医结合治疗糖尿病周围神经病变25例
糖尿病,29,探讨中西医结合治疗糖尿病肾病的临床效果
糖尿病,30,中西医结合治疗糖尿病足疗效研究
糖尿病,31,浅析中西医结合治疗糖尿病并发眼肌麻痹的临床效果
糖尿病,32,中西医结合治疗糖尿病周围神经病变的临床应用分析
糖尿病,33,中西医治疗糖尿病足的研究进展
糖尿病,34,老年糖尿病患者中西医结合护理临床观察
糖尿病,35,中西医结合治疗早期糖尿病肾病临床疗效评价
糖尿病,36,中西医联合干预糖尿病合并抑郁症的临床疗效观察
糖尿病,37,中西医结合治疗糖尿病肾病的临床探讨
糖尿病,38,糖尿病视网膜病变的治疗与护理效果
糖尿病,39,中西医结合治疗糖尿病50例临床随机对照观察
糖尿病,40,中西医结合治疗糖尿病周围血管病变的疗效观察
糖尿病,41,中西医结合治疗糖尿病周围血管病疗效观察
糖尿病,42,中西医结合治疗糖尿病足坏疽合并下肢神经病变的效果观察
糖尿病,43,中西医结合治疗糖尿病周围神经病变临床观察
糖尿病,44,中西医结合治疗糖尿病肾病35例
糖尿病,45,中西医治疗糖尿病周围神经病变研究进展
糖尿病,46,中医药治疗糖尿病视网膜病变研究进展
糖尿病,47,对糖尿病周围神经病变患者进行中西医结合治疗的疗效探讨
糖尿病,48,中西医结合疗法治疗糖尿病肾病的效果研究
糖尿病,49,中西医结合治疗早期糖尿病肾病临床疗效分析
糖尿病,50,TIME原则指导下中西医结合治疗糖尿病性溃疡1例
糖尿病,51,中西医结合治疗非增殖期糖尿病视网膜病变疗效观察
糖尿病,52,中西医结合治疗老年糖尿病周围血管病变的疗效观察及护理
糖尿病,53,中西医结合治疗糖尿病高血糖高渗综合征疗效观察
糖尿病,54,熏洗法结合西药治疗糖尿病足80例临床观察
糖尿病,55,中西医结合治疗糖尿病性周围神经痛的临床效果
糖尿病,56,中西医结合治疗糖尿病性视网膜病变50例临床观察
糖尿病,57,观察中西医结合护理对96例老年糖尿病合并高血压患者的临床效果
糖尿病,58,糖尿病中西医治疗的研究进展
糖尿病,59,中西医结合治疗糖尿病合并细菌性肝脓肿疗效观察
糖尿病,60,增生性糖尿病视网膜病变患者术后开展中西医结合疗法的治疗分析
糖尿病,61,中西医结合治疗非增殖期糖尿病视网膜病变的临床研究
糖尿病,62,中西医结合治疗糖尿病下肢血管病变60例临床观察
糖尿病,63,中西医结合治疗糖尿病视网膜病变临床分析与研究
糖尿病,64,中西医结合治疗气阴两虚型糖尿病疗效观察
糖尿病,65,老年Ⅱ型糖尿病肺部感染的中西医联合治疗效果分析
糖尿病,66,中西医结合治疗糖尿病足疗效的Meta分析
糖尿病,67,中西医结合治疗糖尿病皮肤瘙痒临床效果研究
糖尿病,68,中西医结合治疗老年糖尿病患者合并高血压42例效果观察
糖尿病,69,中西医结合治疗糖尿病痛性神经病变50例临床研究
高脂血症,1,中西医结合治疗脾虚痰瘀型高脂血症合并颈动脉硬化45例
小儿秋季腹泻,1,中西医结合治疗小儿秋季腹泻临床观察
颈椎病,1,神经根型颈椎病的中医治疗进展
颈椎病,2,用中西医结合疗法治疗颈椎病的临床疗效观察
颈椎病,3,中西医结合治疗联合心理干预对神经根型颈椎病患者的疗效
颈椎病,4,中西医结合治疗Chiari畸形术后脊髓空洞症合并颈椎病、腰突症1例报告
颈椎病,5,中西医结合治疗椎动脉型颈椎病的临床研究
颈椎病,6,中西医结合治疗神经根型颈椎病Meta分析
心绞痛,1,中西医治疗冠心病心绞痛研究进展
心绞痛,2,中医汤药联合硝酸脂类药物治疗冠心病心绞痛的临床效果观察
心绞痛,3,中西医结合护理对不稳定型心绞痛患者的效果观察
心绞痛,4,中西医结合治疗冠心病心绞痛的临床疗效观察
心绞痛,5,中西医结合治疗稳定型心绞痛气虚血瘀证临床研究
心绞痛,6,中西医结合治疗冠心病不稳定型心绞痛疗效观察
心绞痛,7,中西医结合治疗冠心病不稳定型心绞痛临床观察
心绞痛,8,中西医结合治疗冠心病心绞痛疗效分析
心绞痛,9,中西医结合治疗不稳定型心绞痛疗效分析
心绞痛,10,中西医结合治疗冠心病不稳定型心绞痛临床观察
心绞痛,11,中西医结合治疗冠心病心绞痛临床观察
心绞痛,12,中西医结合治疗冠心病心绞痛观察与护理
心绞痛,13,中西医结合治疗稳定性心绞痛的临床效果观察
心绞痛,14,分析中西医结合治疗冠心病心绞痛临床疗效
心绞痛,15,中西医结合护理对冠心病心绞痛患者疗效的影响效果
心绞痛,16,中西医结合治疗不稳定型心绞痛疗效观察
心绞痛,17,中西医结合护理对老年冠心病心绞痛的干预效果分析
心绞痛,18,中西医结合治疗胸痹心痛心血瘀阻证103例疗效观察
心绞痛,19,中医药治疗冠心病心绞痛研究进展
心绞痛,20,中西医结合治疗缓解期心绞痛的临床疗效及血清炎性因子水平分析
心绞痛,21,冠心病心绞痛心血管内科治疗的临床研究
心绞痛,22,单硝酸异山梨酯缓释片联合二参田七瓜蒌汤治疗冠心病心绞痛的临床探讨
心绞痛,23,中西医结合治疗稳定性心绞痛的疗效观察
心绞痛,24,中西医结合对不同心肌梗死溶栓危险评分组不稳定型心绞痛患者血瘀证积分的干预作用
心绞痛,25,中西医结合疗法治疗冠心病心绞痛的效果探讨
心绞痛,26,中西医结合治疗冠心病稳定型心绞痛临床观察
心绞痛,27,中西医结合治疗冠心病心绞痛的疗效观察
心绞痛,28,益气宣痹方联合西药治疗不稳定型心绞痛的疗效分析
心绞痛,29,中西医结合治疗冠心病微血管心绞痛临床观察
心绞痛,30,中西医结合治疗冠心病心绞痛64例临床观察
心绞痛,31,中西医结合对冠心病心绞痛的治疗效果观察
心绞痛,32,血府逐瘀汤联合阿司匹林治疗冠心病心绞痛随机平行对照研究
心绞痛,33,中西医结合治疗心绞痛的效果分析
心绞痛,34,中西医结合治疗心绞痛40例临床观察
心绞痛,35,复方丹参滴丸用于治疗心绞痛的临床疗效观察
心绞痛,36,中西医结合治疗不稳定性心绞痛35例临床观察
心绞痛,37,不稳定性心绞痛中医优化治疗初探
肝胆管结石,1,复发性肝胆管结石的中西医结合治疗方法与研究
肠炎,1,中西医结合灌肠治疗直肠炎的效果观察
肠炎,2,中西医结合治疗溃疡性结肠炎的临床研究
肠炎,3,中西医结合治疗慢性结肠炎的临床效果观察
肠炎,4,中西医结合治疗溃疡性结肠炎临床观察
肠炎,5,中西医结合治疗小儿坏死性小肠炎术后综合征临床研究
肠炎,6,中西医结合治疗溃疡性结肠炎的效果观察
肠炎,7,中西医结合治疗溃疡性结肠炎研究进展
肠炎,8,中西医结合治疗小儿轮状病毒性肠炎的临床观察
肠炎,9,中西医结合治疗嗜酸性粒细胞性胃肠炎误诊为急性胃肠炎1例
肠炎,10,中医药防治放射性肠炎研究进展
肛门瘙痒,1,中西医结合治疗肛肠疾病术后肛门瘙痒的效果分析
肛门瘙痒,2,中西医结合治疗肛肠术后肛门瘙痒的效果观察
肛门瘙痒,3,对肛肠手术后肛门瘙痒患者进行中西医结合治疗的效果观察
肛门瘙痒,4,中西医结合治疗肛肠手术术后肛门瘙痒的临床疗效
肛门瘙痒,5,中西医结合治疗肛门瘙痒症的疗效分析
肛门瘙痒,6,中西医结合方法治疗肛肠手术后肛门瘙痒症的临床效果
心力衰竭,1,中西医结合治疗急诊内科重症心力衰竭的临床疗效探讨
心力衰竭,2,中西医结合治疗老年慢性心力衰竭58例临床观察
心力衰竭,3,中西医结合治疗慢性心力衰竭阳虚水泛证30例临床观察
心力衰竭,4,中西医结合治疗冠心病并发心力衰竭的超声心动图疗效分析
心力衰竭,5,中西医结合治疗肺心病伴顽固性心力衰竭的疗效探讨
心力衰竭,6,中西医结合治疗慢性肺源性心脏病合并心力衰竭疗效观察
心力衰竭,7,急诊内科中西医结合治疗老年重症心力衰竭的临床效果观察
心力衰竭,8,中西医结合治疗慢性心力衰竭临床疗效分析
心力衰竭,9,中西医结合治疗慢性心力衰竭临床观察
心力衰竭,10,强心汤对慢性心力衰竭患者血管内皮功能及心功能的影响
心力衰竭,11,壮元饮对慢性心力衰竭患者血浆肿瘤坏死因子-α和超敏C反应蛋白的影响
心力衰竭,12,中西医结合治疗慢性心力衰竭伴利尿剂抵抗35例临床观察
心力衰竭,13,中西医结合治疗心力衰竭合并室性心律失常的临床观察
心力衰竭,14,辨证分型联合西药治疗慢性心力衰竭随机平行对照研究
心力衰竭,15,中西医结合治疗冠心病慢性心力衰竭的临床疗效分析
心力衰竭,16,中西医结合治疗老年慢性心力衰竭患者的临床疗效及对生活质量的影响
心力衰竭,17,中西医结合治疗对慢性心力衰竭患者生活质量的影响分析
心力衰竭,18,丁邦晗中西医结合治疗慢性心力衰竭经验
心力衰竭,19,中西医结合治疗慢性心力衰竭疗效观察
心力衰竭,20,优质护理用于中西医结合治疗慢性充血性心力衰竭患者的临床意义研究
心力衰竭,21,中西医结合治疗慢性心力衰竭23例临床研究
心力衰竭,22,中西医结合治疗阳虚血瘀型慢性心力衰竭的临床疗效研究
哮喘,1,中西医结合疗法对老年慢性持续期哮喘的疗效评价
哮喘,2,赖新生针药结合治疗咳嗽变异性哮喘
哮喘,3,中西医结合治疗哮喘临床研究
哮喘,4,中西医结合治疗支气管哮喘合并过敏性鼻炎疗效观察
哮喘,5,中西医结合治疗支气管哮喘患儿临床观察
哮喘,6,中西医结合治疗哮喘合并反复呼吸道感染42例
哮喘,7,探讨中西医结合治疗小儿哮喘临床效果及安全性
哮喘,8,中西医结合治疗咳嗽变异型哮喘的疗效观察
哮喘,9,中西医结合治疗咳嗽变异性哮喘临床观察
哮喘,10,中西医结合治疗儿童咳嗽变异性哮喘20例疗效观察
哮喘,11,中西医治疗小儿支气管哮喘急性发作护理分析
哮喘,12,中西医结合治疗儿童支气管哮喘缓解期脾胃虚弱型43例临床观察
哮喘,13,中西医结合治疗小儿哮喘的临床研究
哮喘,14,中西医结合护理干预在小儿哮喘护理中的应用价值
哮喘,15,中西医结合治疗支气管哮喘急性发作期疗效观察
哮喘,16,中西医结合治疗治疗成人支气管哮喘的疗效及对肺功能的影响
哮喘,17,中西医结合治疗小儿哮喘缓解期30例
哮喘,18,中西医结合治疗支气管哮喘70例
哮喘,19,中西医结合治疗儿童咳嗽变异性哮喘疗效观察
哮喘,20,中西医结合治疗过敏性鼻炎-哮喘综合征的临床观察
哮喘,21,中西医结合治疗小儿咳嗽变异性哮喘55例临床观察
哮喘,22,中西医结合治疗哮喘急性发作期效果研究
哮喘,23,中西医结合疗法治疗支气管哮喘的疗效探析
哮喘,24,中西医结合治疗小儿支气管哮喘慢性持续期的临床疗效及对免疫功能的影响
哮喘,25,中西医结合治疗儿童哮喘急性发作的疗效评价及对免疫功能的影响
哮喘,26,中西医结合治疗咳嗽变异性哮喘52例疗效观察
哮喘,27,中西药物结合治疗支气管哮喘的临床疗效观察
